메뉴가격,지역특산메뉴여부,메뉴설명(MENU_DSCRN),메뉴카테고리대분류명,메뉴카테고리소분류명
3500.0,N,"버터,바나나,계란,밀가루,설탕,누텔라",제과류,와플
11000.0,N,"토마토,파스타면",한식,파스타
23000.0,N,고기,한식,편육
18000.0,N,닭날개,한식,소금구이
25000.0,N,토시살,한식,한우
6000.0,N,"모짜렐라치즈,밀가루",양식,치즈피자
6000.0,N,"닭가슴살,밀가루",양식,텐더
12000.0,N,"닭고기,밀가루",패스트푸드,통닭
15000.0,N,낙지,일식,산낙지
8000.0,N,사골,한식,설렁탕
8000.0,N,"야채,돼지내장,순대,육수,당면",한식,순대국
22000.0,N,"새우,전분",중식,칠리새우
50000.0,N,"야채,해산물,돼지고기,닭고기,버섯",중식,전가복
6000.0,N,"고추,닭발",한식,고구마돈까스
26000.0,N,"버터,계란,크림치즈",제과류,튀김만두
3000.0,N,"크림,계란,설탕,아몬드",한식,마카롱
20000.0,N,"생선회,전어",한식,전어회
17000.0,Y,문어,일식,숙회
5000.0,N,"야채,떡,어묵",한식,국물떡볶이
2000.0,N,"버터,계란,밀가루,설탕",한식,츄러스
5800.0,N,"야채,빵",제과류,샌드위치
10000.0,N,"쌀,연어",일식,사케
35000.0,N,"야채,아귀",한식,아귀찜
9000.0,N,돼지껍데기,한식,돼지껍데기
25000.0,N,"야채,북어",한식,북어찜
16000.0,N,"닭고기,밀가루",일식,순살치킨
13000.0,N,갈비살,한식,소갈비살
7000.0,N,메밀면,한식,메밀국수
15000.0,N,"야채,돼지고기,찹쌀가루,전분",한식,꿔바로우
35000.0,N,"야채,고추,돼지고기",중식,라조육
20000.0,N,"야채,닭고기,밀가루",중식,유린기
29000.0,N,야채,중식,냉채
9000.0,N,"야채,소고기,면,사골육수",중식,우육면
9000.0,N,"야채,고추,마늘,육수",중식,탄탄면
2000.0,N,"밀가루,김,당면",한식,김말이
11500.0,N,파스타면,양식,크림파스타
8000.0,N,"야채,소고기,숙주,쌀면",중식,쌀국수
42000.0,N,해산물,한식,해물찜
9800.0,N,"베이컨,파스타면",양식,까르보나라파스타
9800.0,N,"새우,쌀,햄",양식,필라프
10000.0,N,"야채,쌀",양식,리조또
2000.0,N,"치즈,밀가루",한식,치즈스틱
17000.0,N,"게살,파스타면",한식,로제파스타
3900.0,N,"치즈,밀가루,베이컨",패스트푸드,베이글
29000.0,N,"생선회,도다리",한식,세꼬시
3000.0,N,"치즈,햄",패스트푸드,밥버거
25000.0,N,"야채,대구",한식,송어튀김
3500.0,N,"야채,김치,두부",일식,도시락
12000.0,N,"왕새우,밀가루",한식,왕새우튀김
6000.0,N,"김치,돼지고기",한식,김치찜
18000.0,N,야채,한식,닭볶음
10000.0,N,고등어,한식,고등어구이
14000.0,N,"야채,차돌박이,면",일식,차돌박이야끼소바
22000.0,N,"야채,돼지고기,육수",일식,나베
1500.0,N,"야채,날치알,김,무순",일식,마끼
10000.0,N,"야채,소고기,쌀",일식,함박스테이크
30000.0,N,돼지고기,한식,불족발
13000.0,N,야채,한식,야채볶음
35000.0,N,"야채,아귀",한식,아귀탕
14000.0,N,"새우,계란,밀가루",중식,멘보샤
28000.0,N,양갈비,한식,양갈비
15000.0,N,"야채,고추,돼지고기,고수",한식,향라
6000.0,N,면,한식,볶음면
2600.0,N,"치즈,햄",패스트푸드,햄치즈
30000.0,N,"돼지고기,묵은지,홍어",한식,삼합
6000.0,N,"면,가쓰오부시",한식,카레우동
16000.0,N,"야채,버터,버섯,트러플,면,파르메산치즈",양식,풍기
7000.0,N,"면,돼지뼈육수,차슈",일식,라멘
7500.0,N,"소고기,쌀",일식,규동
7000.0,N,"야채,쌀,삼겹살",일식,차슈동
20900.0,N,"야채,소목심,표고버섯,새송이버섯,라이스페이퍼",한식,샤브샤브
10000.0,N,"모짜렐라치즈,밀가루,고르곤졸라치즈",양식,고르곤졸라
23900.0,N,"고구마,치즈,밀가루",양식,고구마피자
7000.0,N,"야채,쌀,콩나물",한식,콩나물국밥
14000.0,N,삼겹살,한식,임연수구이
30000.0,N,"소고기,육사시미",한식,두부구이
1000.0,N,날계란,일식,스끼야끼
3000.0,N,"야채,고기",중식,마라샹궈
5500.0,N,"우유,콩가루,얼음",한식,쉐이크
5500.0,N,"설탕,탄산수",한식,모히또
2000.0,N,"야채,돼지고기,찹쌀,전분",한식,찹쌀탕수육
18000.0,N,"야채,치즈,닭고기",패스트푸드,불닭
6000.0,N,"고추,쌀,송어",한식,회덮밥
18000.0,N,"가지,밀가루",양식,칠리
8000.0,N,"야채,소고기,숙주,고사리",한식,동태전골
15000.0,N,"전복,쌀",한식,전복죽
3000.0,N,"치즈,스위트콘",양식,콘치즈
13000.0,N,가지,중식,가지볶음
38000.0,N,"야채,대구",한식,생대구
3000.0,N,"야채,생선",한식,갈비만두
35000.0,N,해산물,한식,모둠회
14000.0,N,"야채,치즈,밀가루,파인애플",양식,하와이안피자
19000.0,N,"고추,꼬막",한식,꼬막무침
11000.0,Y,황태,한식,황태구이
13000.0,N,오징어,기타,오징어채무침
60000.0,N,"야채,문어",한식,연포탕
5000.0,N,"면,가쓰오부시",일식,고기만두
4000.0,N,"야채,쌀,날치알",일식,김치만두
15000.0,Y,"야채,오징어,삼겹살",한식,오삼불고기
13000.0,N,"떡,단팥,콩가루,얼음",양식,빙수
18000.0,N,야채,한식,고기볶음
10000.0,Y,"생선회,광어",한식,활어
10000.0,N,"새우,오징어,쌀,계란,꽈리고추,가지,단호박,밀가루,김,팽이버섯",일식,텐동
4900.0,N,"야채,닭가슴살,빵,방울토마토",일식,데리야키
4500.0,N,"밀가루,닭껍질",한식,닭껍질튀김
3800.0,N,"버터,계란,밀가루,설탕",양식,크로플
17000.0,N,"닭고기,밀가루",한식,치킨
